fold,method,readable,n conditions,time only,train support,valid coverage,train effect,valid effect,valid effect CI low,valid effect CI high,enough coverage,same direction,CI excludes 0,validated,time window coverage,formulation effect in window,formulation CI low,formulation CI high,formulation part holds,raw rule
1,RuleFit,IF Log1p Time ≤ 0.7968,1,True,0.20134228187919462,0.143,-0.47269505146706814,-0.4713134849756618,-0.5401790775890247,-0.4293088684796787,True,True,True,True,,,,,False,Log1p Time <= 0.796786
1,RuleFit,IF Drug MW is not clearly Medium AND Log1p Time ≤ 1.941,2,False,0.38461538461538464,0.313,-0.41687353311440145,-0.41406247018735787,-0.47293504317110485,-0.3519283174433076,True,True,True,True,,,,,False,Drug MW is Medium <= 0.917513 and Log1p Time <= 1.94145
1,RuleFit,IF Particle Size is not clearly Low AND Log1p Time ≤ 1.949,2,False,0.33866804336602996,0.3005,-0.39345200119919044,-0.39930469185048034,-0.4667973610240721,-0.3285239245304263,True,True,True,True,0.3294685990338164,-0.16023910311429265,-0.3288346806073615,0.025066687079251637,False,Particle Size is Low <= 0.942984 and Log1p Time <= 1.94898
1,RuleFit,IF Log1p Time ≤ 2.187,1,True,0.5108415074858028,0.3913,-0.37851177888915283,-0.39207612377567613,-0.46806115135170195,-0.3263695154794961,True,True,True,True,,,,,False,Log1p Time <= 2.1873
1,RuleFit,IF Drug MW is not clearly Low AND Particle Size is not clearly Low AND Log1p Time ≤ 2.902 AND Log1p Time > 1.089 AND Polymer MW is not clearly Low,5,False,0.2121837893649974,0.2763,-0.11291743553461081,-0.3186318015690692,-0.41806423342253346,0.03337333258523141,True,True,False,False,0.4792270531400966,-0.3632028387657181,-0.4780275445341286,-0.029487150901445998,True,Drug MW is Low <= 0.788393 and Particle Size is Low <= 0.986542 and Log1p Time <= 2.90178 and Log1p Time > 1.08878 and Polymer MW is Low <= 0.800658
1,RuleFit,IF Drug Encapsulation Efficiency is not clearly High AND Log1p Time ≤ 2.295 AND Log1p Time > 0.6724,3,False,0.26897263810015487,0.1942,-0.01755588582082801,-0.07416661128938912,-0.20004710042997745,0.029802646144017685,True,True,False,False,0.314975845410628,0.2642104982999709,0.1189320391144155,0.37523249038176554,True,Drug Encapsulation Efficiency is High <= 0.613943 and Log1p Time <= 2.29476 and Log1p Time > 0.67241
1,RuleFit,IF Log1p Time > 0.09352,1,True,0.9264326277749096,0.9362,0.5582239829985469,0.5332630688338508,0.4847265363382424,0.6292120903513482,True,True,True,True,,,,,False,Log1p Time > 0.0935193
1,RuleFit,IF Drug Encapsulation Efficiency is not High AND Log1p Time ≤ 2.447 AND Log1p Time > 0.3827,3,False,0.2780072276716572,0.1527,0.010986488744895606,0.030481407076056954,-0.09512683175747047,0.15549248047031314,True,True,False,False,0.3961352657004831,0.2880913380544271,0.11039722326254112,0.4192834393318689,True,Drug Encapsulation Efficiency is High <= 0.422069 and Log1p Time <= 2.44675 and Log1p Time > 0.382683
1,RuleFit,IF Log1p Time > 0.7968,1,True,0.7986577181208053,0.857,0.47269505146706814,0.4713134849756618,0.4280361247572365,0.5439448525271289,True,True,True,True,,,,,False,Log1p Time > 0.796786
1,RuleFit,IF Log1p Time > 1.098,1,True,0.7715539494062984,0.8348,0.46247385415931347,0.4548165133408534,0.4086605837615088,0.5289776107183802,True,True,True,True,,,,,False,Log1p Time > 1.09849
